Date	85Kr [Bq/cbm air]	Kr85_error [Bq/cbm air]
14-05-84	1.001	0.03003
21-05-84	1.255	0.03765
28-05-84	1.017	0.03051
04-06-84	0.8581	0.025743
12-06-84	0.9135	0.027405
18-06-84	0.8705	0.026115
25-06-84	0.9014	0.027042
02-07-84	0.8558	0.025674
09-07-84	1.051	0.03153
16-07-84	0.8362	0.025086
23-07-84	0.8503	0.025509
30-07-84	0.798	0.02394
06-08-84	0.8462	0.025386
13-08-84	0.877	0.02631
20-08-84	0.8161	0.024483
27-08-84	0.8223	0.024669
03-09-84	0.8369	0.025107
10-09-84	0.8081	0.024243
17-09-84	0.8462	0.025386
24-09-84	0.9288	0.027864
01-10-84	0.8521	0.025563
08-10-84	0.8534	0.025602
15-10-84	0.8382	0.025146
22-10-84	1.102	0.03306
29-10-84	0.9589	0.028767
05-11-84	0.9401	0.028203
12-11-84	0.8823	0.026469
19-11-84	0.8779	0.026337
26-11-84	0.9053	0.027159
03-12-84	1.005	0.03015
10-12-84	0.956	0.02868
17-12-84	0.8494	0.025482
27-12-84	0.8496	0.025488
14-01-85	0.877	0.02631
21-01-85	0.8868	0.026604
28-01-85	0.8796	0.026388
04-02-85	1.001	0.03003
11-02-85	1.1	0.033
18-02-85	0.9469	0.028407
25-02-85	0.8721	0.026163
04-03-85	1.08	0.0324
11-03-85	1.055	0.03165
18-03-85	0.915	0.02745
25-03-85	0.9277	0.027831
01-04-85	1.009	0.03027
09-04-85	0.9938	0.029814
15-04-85	1.173	0.03519
22-04-85	0.9976	0.029928
29-04-85	1.214	0.03642
06-05-85	1.07	0.0321
13-05-85	1.166	0.03498
20-05-85	1.133	0.03399
28-05-85	0.994	0.02982
03-06-85	1.393	0.04179
10-06-85	1.215	0.03645
18-06-85	1.242	0.03726
24-06-85	1.2	0.036
01-07-85	1.099	0.03297
08-07-85	1.418	0.04254
15-07-85	0.8778	0.026334
22-07-85	0.8328	0.024984
29-07-85	0.893	0.02679
05-08-85	0.8857	0.026571
12-08-85	0.8569	0.025707
19-08-85	0.8746	0.026238
26-08-85	0.8842	0.026526
02-09-85	0.9089	0.027267
09-09-85	1.271	0.03813
16-09-85	1.299	0.03897
23-09-85	1.111	0.03333
30-09-85	1.16	0.0348
07-10-85	0.8901	0.026703
14-10-85	0.9031	0.027093
28-10-85	1.338	0.04014
04-11-85	0.9443	0.028329
11-11-85	2.175	0.06525
18-11-85	1.893	0.05679
25-11-85	4.655	0.13965
02-12-85	0.9217	0.027651
09-12-85	0.9821	0.029463
16-12-85	0.8979	0.026937
23-12-85	0.8848	0.026544
30-12-85	6.257	0.18771
13-01-86	1.601	0.04803
20-01-86	1.017	0.03051
27-01-86	1.061	0.03183
03-02-86	1.038	0.03114
10-02-86	1.63	0.0489
17-02-86	2.664	0.07992
